City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhuhai,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
1,La Ronge,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
2,Port Blair,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
4,Dingle,PH,10.9995,122.6711,86.76,59,97,11.03,overcast clouds
5,Yellowknife,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
6,Naifaru,MV,5.4444,73.3657,81.18,72,95,2.21,overcast clouds
7,Ukiah,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
8,Yar-Sale,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,58.23,60,10,11.01,clear sky
10,Qaanaaq,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
11,Chokurdakh,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
13,Lac Du Bonnet,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
14,Albany,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
15,Mataura,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
16,Khandyga,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
17,Clarence Town,AU,-32.5833,151.7833,80.82,53,94,10.29,overcast clouds
18,Barcelos,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
19,Hamilton,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
20,Illoqqortoormiut,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
21,Port Elizabeth,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
22,Atuona,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
23,Busselton,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
24,Sakakah,SA,29.9697,40.2064,51.37,26,10,3.98,clear sky
25,Mar Del Plata,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
26,Boa Vista,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
27,Bethel,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
28,Upernavik,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
29,Anadyr,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
30,Camacha,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
31,Yichang,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
32,Waingapu,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
33,Nur,PL,52.6683,22.3221,31.78,67,6,11.12,clear sky
34,New Norfolk,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
35,Xam Nua,LA,20.4197,104.0439,64.2,75,100,3.02,overcast clouds
36,Wanning,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
37,Port Alfred,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
38,Brigantine,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
39,Khonuu,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
40,Cidreira,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
41,Lasa,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
42,San Patricio,US,28.017,-97.5169,53.83,49,95,7.63,overcast clouds
43,Cape Town,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
44,Kirakira,SB,-10.4544,161.9205,83.26,76,100,6.49,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,89.15,79,20,13.24,few clouds
46,Skrunda,LV,56.6833,22.0167,35.26,84,100,10.98,overcast clouds
47,Matara,LK,5.9485,80.5353,86.13,59,64,1.88,broken clouds
48,Minot,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
49,Cairns,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
50,Salalah,OM,17.0151,54.0924,75.29,14,2,14.97,clear sky
51,Carnarvon,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
52,Rikitea,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
53,Jambi,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
54,Ca Mau,VN,9.1769,105.15,90.95,47,79,16.22,broken clouds
55,Hermanus,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
56,Dubrovka,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
57,Rabo De Peixe,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
58,Vaini,TO,-21.2,-175.2,80.76,83,40,9.22,scattered clouds
59,Gat,IL,31.61,34.7642,54.28,100,99,5.26,overcast clouds
60,Paramirim,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
61,Chabahar,PL,52.6683,22.3221,31.78,67,6,11.12,clear sky
62,East London,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
63,Kiama,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,74.55,92,92,3.13,overcast clouds
65,Yuanping,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
66,Oneida,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
67,Bagotville,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
68,Barrow,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
69,Aksarka,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
70,Villamontes,BO,-21.25,-63.5,64.18,82,28,2.77,scattered clouds
71,Hobart,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
72,Katsuura,JP,35.1333,140.3,49.1,61,99,19.6,overcast clouds
73,Nikolskoye,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
74,Punta Arenas,CL,-53.15,-70.9167,41.11,65,40,9.22,scattered clouds
75,Norsup,VU,-16.0667,167.3833,83.75,75,95,12.19,overcast clouds
76,Kavieng,PG,-2.5744,150.7967,83.66,73,84,7.43,light rain
77,Mayumba,GA,-3.432,10.6554,78.04,85,95,2.62,light rain
78,Prokopyevsk,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
79,Altay,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
80,Coihaique,CL,-53.15,-70.9167,41.11,65,40,9.22,scattered clouds
81,Bonthe,SL,7.5264,-12.505,74.52,91,47,3.04,moderate rain
82,Cascais,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
83,Mitsamiouli,KM,-11.3847,43.2844,81.77,78,53,6.78,broken clouds
84,Kahului,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
85,Eureka,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
86,Winneba,GH,5.3511,-0.6231,79.27,86,90,6.2,overcast clouds
87,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,75,9.22,broken clouds
88,Kapaa,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
89,Balkanabat,TM,39.5108,54.3671,40.08,55,8,3.94,clear sky
90,Pokhara,NP,28.2333,83.9833,64.74,56,0,6.87,clear sky
91,Ingraj Bazar,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
92,Hualmay,PE,-11.0964,-77.6139,70.56,82,97,7.99,overcast clouds
93,Saint-Louis,SN,16.3333,-15.0,62.24,21,92,10.16,overcast clouds
94,Georgetown,MY,5.4112,100.3354,89.53,75,40,10.36,scattered clouds
95,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,0.0,light snow
96,Tiznit,MA,29.5833,-9.5,50.04,62,0,1.52,clear sky
97,Road Town,VG,18.4167,-64.6167,73.99,68,8,19.13,clear sky
98,Dikson,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
99,Hilo,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
100,Bluff,NZ,-46.6,168.3333,60.8,69,89,6.64,overcast clouds
101,Lompoc,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
102,Kruisfontein,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
103,Faanui,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
104,Resistencia,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
105,Jamestown,MY,5.4112,100.3354,89.53,75,40,10.36,scattered clouds
106,Oranjemund,NA,-28.55,16.4333,65.61,87,29,3.76,scattered clouds
107,Antalya,TR,36.7741,30.7178,55.09,52,0,11.5,clear sky
108,Tuktoyaktuk,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
109,Buala,SB,-10.4544,161.9205,83.26,76,100,6.49,overcast clouds
110,Kon Tum,VN,9.1769,105.15,90.95,47,79,16.22,broken clouds
111,Khatanga,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
112,Ugoofaaru,MV,5.4444,73.3657,81.18,72,95,2.21,overcast clouds
113,Troitskoye,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
114,Srednekolymsk,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
115,Cherskiy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
116,Byron Bay,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
117,Hithadhoo,MV,5.4444,73.3657,81.18,72,95,2.21,overcast clouds
118,Ozinki,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
119,Raisen,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
120,Pombal,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
121,Viedma,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
122,Bengkulu,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
123,Saint George,US,37.1041,-113.5841,54.54,26,0,6.91,clear sky
124,Galiwinku,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
125,Codrington,AU,-38.2667,141.9667,68.43,65,17,13.8,few clouds
126,Ramgarh,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
127,Yeppoon,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
128,Bharatpur,NP,28.2333,83.9833,64.74,56,0,6.87,clear sky
129,Puerto Del Rosario,ES,28.6585,-17.9182,58.75,82,75,9.22,broken clouds
130,Kanniyakumari,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
131,Pinawa,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
132,Touros,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
133,Cabo San Lucas,US,28.017,-97.5169,53.83,49,95,7.63,overcast clouds
134,Eenhana,NA,-28.55,16.4333,65.61,87,29,3.76,scattered clouds
135,Port Moresby,PG,-2.5744,150.7967,83.66,73,84,7.43,light rain
136,Meulaboh,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
137,Ancud,CL,-53.15,-70.9167,41.11,65,40,9.22,scattered clouds
138,Hengshui,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
139,Oistins,BB,13.0667,-59.5333,77.09,73,20,18.41,few clouds
140,Padang,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
141,Gouyave,GD,12.1646,-61.7296,74.17,83,40,8.05,scattered clouds
142,Kavaratti,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
143,Cabadiangan,PH,9.7531,122.4739,87.93,58,95,10.04,overcast clouds
144,Ribeira Grande,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
145,Bardiyah,IL,31.61,34.7642,54.28,100,99,5.26,overcast clouds
146,Murgab,TM,39.5108,54.3671,40.08,55,8,3.94,clear sky
147,Alofi,NU,-19.0595,-169.9187,80.49,78,75,6.91,broken clouds
148,Ghanzi,BW,-21.5667,21.7833,73.51,60,70,1.68,broken clouds
149,Belushya Guba,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
150,Urengoy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
151,Kirov,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
152,Mys Shmidta,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
153,Henderson,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
154,Tuatapere,NZ,-46.6,168.3333,60.8,69,89,6.64,overcast clouds
155,Port Hedland,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
156,Samarai,PG,-2.5744,150.7967,83.66,73,84,7.43,light rain
157,Tasiilaq,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
158,Sao Filipe,CV,14.8961,-24.4956,72.61,67,94,11.23,overcast clouds
159,Sitka,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
160,Barentsburg,SJ,78.2186,15.6401,15.64,86,75,0.0,light snow
161,Kaitangata,NZ,-46.6,168.3333,60.8,69,89,6.64,overcast clouds
162,Saint-Augustin,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
163,Palabuhanratu,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
164,Amderma,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
165,Cayenne,GF,4.9333,-52.3333,77.09,91,75,5.01,broken clouds
166,Sao Miguel Do Araguaia,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
167,Mackay,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
168,Soars,RO,45.9333,24.9167,26.22,74,100,2.3,overcast clouds
169,Sentyabrskiy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
170,Ixtlahuacan Del Rio,US,28.017,-97.5169,53.83,49,95,7.63,overcast clouds
171,Lata,SB,-10.4544,161.9205,83.26,76,100,6.49,overcast clouds
172,Nguru,NG,12.8791,10.4526,64.49,14,2,8.21,clear sky
173,Ostrovnoy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
174,Ningxiang,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
175,Rio Gallegos,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
176,Bilma,NE,18.6853,12.9164,61.47,16,0,6.67,clear sky
177,Puerto El Triunfo,SV,13.2833,-88.55,85.12,67,1,4.34,clear sky
178,Appleton,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
179,Burpengary,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
180,Avarua,CK,-21.2078,-159.775,75.25,88,40,6.91,scattered clouds
181,Margate,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
182,Saryg-Sep,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
183,Veraval,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
184,Omsukchan,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
185,Lagoa,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
186,Khani,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
187,Victoria,HK,22.2855,114.1577,69.96,69,41,8.01,scattered clouds
188,Buraydah,SA,29.9697,40.2064,51.37,26,10,3.98,clear sky
189,Airai,TL,-8.9266,125.4092,71.78,68,27,2.66,scattered clouds
190,Zlobin,HR,45.2924,14.6541,33.39,88,62,2.66,snow
191,Qui Nhon,VN,9.1769,105.15,90.95,47,79,16.22,broken clouds
192,Beringovskiy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
193,Zolotinka,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
194,Ulagan,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
195,Namatanai,PG,-2.5744,150.7967,83.66,73,84,7.43,light rain
196,Iqaluit,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
197,East Retford,GB,53.3221,-0.9432,45.95,83,40,11.5,scattered clouds
198,Lithgow,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
199,Attawapiskat,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
200,Deputatskiy,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
201,Yulara,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
202,Lebu,CL,-53.15,-70.9167,41.11,65,40,9.22,scattered clouds
203,Roseburg,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
204,Baishishan,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
205,Norman Wells,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
206,Marrakesh,MA,29.5833,-9.5,50.04,62,0,1.52,clear sky
207,Gunnedah,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
208,Ahipara,NZ,-46.6,168.3333,60.8,69,89,6.64,overcast clouds
209,Butaritari,KI,3.0707,172.7902,81.34,78,20,10.0,light rain
210,Vao,NC,-22.6667,167.4833,80.55,82,91,15.35,overcast clouds
211,Nara,JP,34.6851,135.8049,52.92,42,70,3.71,broken clouds
212,Naze,JP,35.1333,140.3,49.1,61,99,19.6,overcast clouds
213,Vila Franca Do Campo,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
214,San Policarpo,PH,9.7531,122.4739,87.93,58,95,10.04,overcast clouds
215,Ouesso,CG,1.6136,16.0517,70.81,79,100,1.79,overcast clouds
216,Marsaxlokk,MT,35.8419,14.5431,50.07,100,20,2.3,few clouds
217,Doetinchem,NL,51.95,6.2833,52.09,74,100,8.99,overcast clouds
218,Yerbogachen,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
219,Moerai,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
220,Brownsville,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
221,Ijaki,KI,3.0707,172.7902,81.34,78,20,10.0,light rain
222,Khasan,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
223,Tiksi,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
224,Barra Do Bugres,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
225,Pennagaram,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
226,Riyadh,SA,29.9697,40.2064,51.37,26,10,3.98,clear sky
